"label","@id","map","@type","skos:sameas","skos:sameas","skos:closematch"
"glazed white ware ii (hayes)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1039",,"ceramic type",,,
"2,5y 5_1","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/104",,"munsell colour",,,
"polychrome ware (group 6, yakobson) ","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1040",,"ceramic type",,,
"glazed jug","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1041",,"ceramic type",,,
"lrc, arsw form ?","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1042",,"ceramic type",,,
"gray clay with black gloss","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1043",,"ceramic type",,,
"red-clay glazed ware","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1044",,"ceramic type",,,
"arsw, form 32_58","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1045",,"ceramic type",,,
"plain fineware","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1046",,"ceramic type",,,
"glazed white ware i (hayes)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1047",,"ceramic type",,,
"arsw, form 93_97","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1048",,"ceramic type",,,
"unspecified amphora","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1049",,"ceramic type",,,
"10yr 7_3","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/105",,"munsell colour",,,
"light clay (zeest 104-105; shelov types e-f)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1050",,"ceramic type",,,
"black and brown gloss","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1051",,"ceramic type",,,
"red clay (zeest 69)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1052",,"ceramic type",,,
"jug","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1053",,"ceramic type",,,
"jar","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1054",,"ceramic type",,,
"red clay (zeest 72), 2nd-3rd c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1055",,"ceramic type",,,
"plain jug","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1056",,"ceramic type",,,
"lra 1","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1057",,"ceramic type",,,
"lra 3","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1058",,"ceramic type",,,
" arsw, form 62 b","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1059",,"ceramic type",,,
"2,5yr 7_3","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/106",,"munsell colour",,,
"class 43 (gunsenin-ii) (\""collared\"")","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1060",,"ceramic type",,,
"champleve ware (group 4, yakobson) ","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1061",,"ceramic type",,,
"fine sgraffito group ","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1062",,"ceramic type",,,
"strainer","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1063",,"ceramic type",,,
"syrian? (kashin_faience)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1064",,"ceramic type",,,
"lrc, form ?","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1065",,"ceramic type",,,
"chios (capped)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1066",,"ceramic type",,,
"class 33 (35?)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1067",,"ceramic type",,,
"plain fineware casserole?","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1068",,"ceramic type",,,
"amphora","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1069","getty","ceramic class","http://vocab.getty.edu/aat/300148696",,
"5yr 5_6","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/107",,"munsell colour",,,
"cookware","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1070","getty","ceramic class","http://vocab.getty.edu/aat/300201279",,
"pithos","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1071","getty","ceramic class","http://vocab.getty.edu/aat/300198882",,
"storage","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1072","getty","ceramic class","http://vocab.getty.edu/aat/300198880",,
"lid","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1073","getty","ceramic class","http://vocab.getty.edu/aat/300045712",,
"fineware","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1074","getty","ceramic class","http://vocab.getty.edu/aat/300264955",,
"mortar (class)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1075","getty","ceramic class","http://vocab.getty.edu/aat/300395633",,
"special","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1076",,"ceramic class",,,
"lamp (type)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1077","getty","ceramic class","http://vocab.getty.edu/aat/300183182",,
"terracotta","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1078","getty","ceramic class","http://vocab.getty.edu/aat/300047296",,
"waterpipe (class)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1079","getty","ceramic class","http://vocab.getty.edu/aat/300432673",,
"5yr 6_2","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/108",,"munsell colour",,,
"tile (class)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1080","getty","ceramic class","http://vocab.getty.edu/aat/300010699",,
