ark_type,ark_id,ark_label,common_name,cleaned_alignment,ncbi_reconciliation,ncbi_urls,ncbi_id,eol_uri,notes
botanytype,197,Persica vulgaris,Peach,Persica vulgaris,Persica vulgaris,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3760,3760,https://eol.org/pages/631649,Listed in EOL as Prunus persica
botanytype,198,Prunus cerasus,Sour cherry,Prunus cerasus,Prunus cerasus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=140311,140311,https://eol.org/pages/242597,
botanytype,199,Prunus persica,Peach,Prunus persica,Prunus persica,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3760,3760,https://eol.org/pages/631649,not distinguished from Persica vulgaris in EOL
botanytype,200,Prunus sp.,Plum family,Prunus,Prunus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3754,3754,https://eol.org/pages/39934521,
botanytype,201,Corylus avellana shells,Hazelnut,Corylus avellana,Corylus avellana,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=13451,13451,https://eol.org/pages/1147599,
botanytype,202,Morus nigra,Black mulberry,Morus nigra,Morus nigra,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=85232,85232,https://eol.org/pages/596202,
botanytype,203,Juglans regia shells,Walnut,Juglans regia,Juglans regia,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=51240,51240,https://eol.org/pages/487229,
botanytype,204,Cicer arieinum,Chickpea,Cicer arietinum,Cicer arietinum,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3827,3827,https://eol.org/pages/685208,
botanytype,205,Unidentified Leguminosae,Unidentified legume,Leguminosae,Leguminosae,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3803,3803,https://eol.org/pages/4277,
botanytype,206,Unidentified,Unidentified plant,Archaeplastida,,,,https://eol.org/pages/42430800,unidentified plant remains; kingdom not present in NCBI; same as kingdom Plantae in EOL
botanytype,207,Urtica sp,Nettle family,Urtica,Urtica,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3500,3500,https://eol.org/pages/38080,
botanytype,208,Olea europaea,European olive,Olea europaea,Olea europaea,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4146,4146,https://eol.org/pages/579181,
botanytype,209,Rubus  idaeus,Raspberry,Rubus idaeus,Rubus idaeus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=32247,32247,https://eol.org/pages/625333,
botanytype,210,Ficus carica,Fig,Ficus carica,Ficus carica,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3494,3494,https://eol.org/pages/594632,
botanytype,211,Sambucus edulus,Dwarf elderberry,Sambucus ebulus,Sambucus ebulus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=28503,28503,https://eol.org/pages/488732,
botanytype,212,Sambucusnigra,Elderberry,Sambucus nigra,Sambucus nigra,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4202,4202,https://eol.org/pages/488731,
botanytype,213,Setaria glauca,Bristlegrass,Setaria glauca,Setaria glauca,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4543,4543,https://eol.org/pages/108098,EOL listing is Setaria; identified as synonym for Setaria glauca on names page
botanytype,214,Setaria viridis,Green bristlegrass,Setaria viridis,Setaria viridis,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4556,4556,https://eol.org/pages/1114660,Incorrectly linked from NCBI
botanytype,215,Setaria viridis verticillata,Bristly foxtail,Setaria verticillata,Setaria verticillata,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=149379,149379,https://eol.org/pages/1114661,
botanytype,216,Silene sp,Carpetweed family,Silene,Silene,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3573,3573,https://eol.org/pages/37656,
botanytype,217,Anhusa sp.,Borage family,Anchusa,Anchusa,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=89629,89629,https://eol.org/pages/70954,
botanytype,218,Astragalus sp.,Milkvetch family,Astragalus,Astragalus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=20400,20400,https://eol.org/pages/47113496,Not linked from NCBI
botanytype,219,Ballota nigra,Black horehound,Ballota nigra,Ballota nigra,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=194200,194200,https://eol.org/pages/579636,
botanytype,220,Brassica sp.,Mustard family,Brassica sp.,Brassica sp.,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3717,3717,https://eol.org/pages/38390,Not linked from NCBI
botanytype,221,Buglossoides arvense,Corn gromwell,Buglossoides arvensis,Buglossoides arvensis,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=181181,181181,https://eol.org/pages/489676,
botanytype,222,Buglossoides officinale,Common bugloss,Buglossoides,Buglossoides,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=181180,181180,https://eol.org/pages/62204,No record for Buglossoides officinalis in NCBI or EOL; perhaps same as Anchusa officinalis or common bugloss
botanytype,223,Chenopodium album,Fat hen,Chenopodium album,Chenopodium album,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3559,3559,https://eol.org/pages/47128802,NCBI links to Chenopodium acerifolium but EOL has separate entry for album
botanytype,224,Echinochloa  crus galli,Barnyard grass,Echinochloa crus galli,Echinochloa crus-galli,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=90397,90397,https://eol.org/pages/1115346,
botanytype,225,Euphorbia helioscopia,Madwoman's milk,Euphorbia helioscopia,Euphorbia helioscopia,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=154990,154990,https://eol.org/pages/1144727,
botanytype,226,Fallopia convolvulus,Black bindweed,Fallopia convolvulus,Fallopia convolvulus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=76029,76029,https://eol.org/pages/586686,Dead link in NCBI
botanytype,227,Fumaria officinalis.,Common fumitory,Fumaria officinalis,Fumaria officinalis,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=200993,200993,https://eol.org/pages/590512,Not linked from NCBI
botanytype,228,Galium aparine,Goose grass,Galium aparine,Galium aparine,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=29788,29788,https://eol.org/pages/1098038,
botanytype,229,Lolium temulentum,Darnel ryegrass,Lolium temulentum,Lolium temulentum,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=34176,34176,https://eol.org/pages/1114469,
botanytype,230,Malva  silvestris,High mallow,Malva sylvestris,Malva sylvestris,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=145754,145754,https://eol.org/pages/584656,
botanytype,231,Malva neglecta,Roundleaf mallow,Malva neglecta,Malva neglecta,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=183277,183277,https://eol.org/pages/584651,Not linked from NCBI
botanytype,232,Malva pusilla,Low mallow,Malva pusilla,Malva pusilla,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=96480,96480,https://eol.org/pages/47124241,Not linked from NCBI
botanytype,233,Viola arvensis,Field pansy,Viola arvensis,Viola arvensis,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=97415,97415,https://eol.org/pages/584594,
botanytype,234,Polygonum convolvulus,Black bindweed,Polygonum convolvulus,Polygonum convolvulus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=76029,76029,https://eol.org/pages/586686,NCBI and EOL see as identical to Fallopia convolvulus
botanytype,235,Rumex acetosella,Sheep's sorrel,Rumex acetosella,Rumex acetosella,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=61450,61450,https://eol.org/pages/585262,Rumex angiocarpus in EOL
botanytype,236,Rumex  crispus,Curled dock,Rumex crispus,Rumex crispus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=174649,174649,https://eol.org/pages/585266,
botanytype,237,Trifolium repens,White clover,Trifolium repens,Trifolium repens,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3899,3899,https://eol.org/pages/703436,
botanytype,238,Trifolium sp.,Clover family,Trifolium,Trifolium,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3898,3898,https://eol.org/pages/47117019,
