module,code,short_dx,class
sfi_cd,CH04SR_2706,Bronze cylinder,tool
sfi_cd,CH04SR_2159,bronze object,tool
sfi_cd,CH01PA_1316,chisel,tool
sfi_cd,CH06SR_3856,Comb handle,tool
sfi_cd,CH04SR_2326,Head of tool or weapon,tool
sfi_cd,CH05SR_2738,Instrument (fragment),tool
sfi_cd,CH04SR_2371,iron frags from tool (animal brush),tool
sfi_cd,CH04SR_2150,Iron Implement,tool
sfi_cd,CH04SR_2427,Iron object (tool ?),tool
sfi_cd,CH04SR_2214,iron object (tool frag ?),tool
sfi_cd,CH04SR_2707,Iron object in situ in rm 33,tool
sfi_cd,CH04SR_2206,iron socket,tool
sfi_cd,CH04SR_2320,Iron tool,tool
sfi_cd,CH04SR_2312,Iron tool (wool brush?),tool
sfi_cd,CH02PA_1054,mirror,tool
sfi_cd,CH05SR_2758,Object (part of an axe),tool
sfi_cd,CH05SR_2917,Object (spike),tool
sfi_cd,CH05SR_2970,Object; part instrument,tool
sfi_cd,CH04SR_3976,Profiled blunt end of a bone pin or stylus.,tool
sfi_cd,CH01PA_143,Raschiatoio,tool
sfi_cd,CH04SR_2679,Stylus,tool
sfi_cd,CH02PA_1539,tool,tool
sfi_cd,CH05SR_2945,Tool (cleaning profiles of pit in rm 37),tool
sfi_cd,CH05SR_2906,Tool (from the wall 298),tool
sfi_cd,CH04SR_2217,tool frag,tool
sfi_cd,CH04SR_2205,tool head object,tool
sfi_cd,CH05SR_3342,tool/ axe head,tool
sfi_cd,CH04SR_2577,Tool/Blade,tool
sfi_cd,CH05SR_2982,Tool/weapon,tool
sfi_cd,CH04SR_2130,weaving impliment ?,tool
sfi_cd,CH04SR_2116,Worked bone point,tool
sfi_cd,CH04SR_3978,Worked bone point with incised decoration,tool
sfi_cd,CH04SR_2700,Bronze object (2 frags),unidentifiable
sfi_cd,CH04SR_2702,Bronze objects,unidentifiable
sfi_cd,CH04SR_2279,Chips,unidentifiable
sfi_cd,CH05SR_2760,Object - unidentifiable,unidentifiable
sfi_cd,CH05SR_3060,Object (2 pieces),unidentifiable
sfi_cd,CH06SR_3608,Object (attached to stone),unidentifiable
sfi_cd,CH05SR_3300,object (from sample 445),unidentifiable
sfi_cd,CH06SR_3735,Object (from sample 559),unidentifiable
sfi_cd,CH06SR_3920,Object (from sample 701),unidentifiable
sfi_cd,CH06SR_3971,Object (from sample 731),unidentifiable
sfi_cd,CH05SR_3286,object (from sieve?),unidentifiable
sfi_cd,CH05SR_2775,Object (unidentifialble),unidentifiable
sfi_cd,CH06SR_3889,Object taken as sample for residual analysis number 738,unidentifiable
sfi_cd,CH05SR_3014,Object/ instrument part,unidentifiable
sfi_cd,CH06SR_3484,Piece,unidentifiable
sfi_cd,CH06SR_3428,Piece of bronze,unidentifiable
sfi_cd,CH05SR_3051,Plate / strip,unidentifiable
sfi_cd,CH05SR_2755,Semicircular object,unidentifiable
sfi_cd,CH04SR_2131,Tube/Cylinder,unidentifiable
sfi_cd,CH06SR_3394,Two fragments of bronze object,unidentifiable
sfi_cd,CH06SR_3497,Two pieces of bronze,unidentifiable
sfi_cd,CH05SR_2740,Unidentified corroded object,unidentifiable
sfi_cd,CH04SR_2461,unidentified lead object,unidentifiable
sfi_cd,CH05SR_2753,Unidentified object,unidentifiable
sfi_cd,CH05SR_2748,Unspecified circular object,unidentifiable
sfi_cd,CH01PA_1421,waste,unidentifiable
sfi_cd,CH02PA_2017,WORKED,unidentifiable
sfi_cd,CH05SR_2749,Worked object,unidentifiable
sfi_cd,CH05SR_3333,arrow head,weapon
sfi_cd,CH05SR_2964,Arrow head from Tomb 5,weapon
sfi_cd,CH04SR_2273,Bullet (Crimean War),weapon
sfi_cd,CH05SR_2855,Cannon ball,weapon
sfi_cd,CH05SR_2772,Cannon ball/ shot,weapon
sfi_cd,CH04SR_2290,cannonball frag(Crimean War ?),weapon
sfi_cd,CH04SR_2298,Cannonball fragments,weapon
sfi_cd,CH04SR_2188,Crimean War cannonball,weapon
sfi_cd,CH05SR_2734,Fragment of cannon ball,weapon
sfi_cd,CH05SR_2745,Grape shot,weapon
sfi_cd,CH04SR_2107,Grape shot - Crimean war?,weapon
sfi_cd,CH04SR_2113,grapeshot,weapon
sfi_cd,CH04SR_2592,Iron object (probably goes with SF 2565),weapon
sfi_cd,CH04SR_2418,Iron object (spearhead),weapon
sfi_cd,CH04SR_2502,Iron sling bullet,weapon
sfi_cd,CH04SR_2339,iron spearhead,weapon
sfi_cd,CH04SR_2324,Iron with copper inlay,weapon
sfi_cd,CH04SR_2125,Long thin arrowhead with haft - 15x17 cm,weapon
sfi_cd,CH04SR_2565,Sword/Knife,weapon
sfi_cd,CH05SR_2754,Two fragments of Cannon ball,weapon
sfi_cd,CH04SR_2132,Biconical net weight,weight
sfi_cd,CH04SR_2693,Lead loom weight,weight
sfi_cd,CH04SR_2142,Loom weight,weight
sfi_cd,CH04SR_2218,loom weight (or net weight),weight
sfi_cd,CH01PA_118,Mola,weight
sfi_cd,CH04SR_2559,Net weight (Fishing),weight
sfi_cd,CH06SR_3684,Object (for divers' belt),weight
sfi_cd,CH01PA_472,Peso,weight
sfi_cd,CH01PA_150,Peso da Telaio,weight
sfi_cd,CH04SR_2452,Pyramidal loom weight,weight
sfi_cd,CH05SR_2977,"Rectangular object (""tesserae"")",weight
sfi_cd,CH05SR_2978,Ring like object annulus,weight
sfi_cd,CH04SR_2421,Stone object with hole and graffiti,weight
sfi_cd,CH06SR_3447,Weight (Loom or fishing),weight
sfi_cd,CH06SR_3507,Weight (possibly),weight
sfi_cd,CH05SR_2795,Weight (sinker or loom weight),weight
sfi_cd,CH01PA_1760,wheat stone,whetstone
sfi_cd,CH06SR_3785,Whestone,whetstone
sfi_cd,CH01PA_854,whet,whetstone
sfi_cd,CH02PA_1995,whet stone,whetstone
sfi_cd,CH01PA_1014,whetstone,whetstone
sfi_cd,CH06SR_3547,Whetstone (?),whetstone
sfi_cd,CH06SR_3509,Whetstone (?) (Cleaning of room 31a),whetstone
sfi_cd,CH04SR_2104,Shard,window glazing
sfi_cd,CH01PA_714,Vetro da finestra,window glazing
sfi_cd,CH05SR_2774,Window seal,window glazing
sfi_cd,CH05SR_3257,(disintegrated) object,wire
sfi_cd,CH05SR_3293,coiled wire,wire
sfi_cd,CH05SR_3371,wire,wire
sfi_cd,CH01PA_1134,astragalo,worked bone
sfi_cd,CH06SR_3912,Astragalos,worked bone
sfi_cd,CH01PA_1155,astragalus,worked bone
sfi_cd,CH04SR_2547,Bone instrument,worked bone
sfi_cd,CH06SR_3384,Bone object,worked bone
sfi_cd,CH04SR_2429,Bone object (Horse/bridle equipment?),worked bone
sfi_cd,CH06SR_3999,Bone object (pin?),worked bone
sfi_cd,CH06SR_3424,Bone object with carved decoration,inlay
sfi_cd,CH04SR_2645,Bone with traces of carving,worked bone
sfi_cd,CH05SR_2988,Carved object (from wheel barrow),inlay
sfi_cd,CH01PA_822,corno,worked bone
sfi_cd,CH05SR_3159,Decorated object,inlay
sfi_cd,CH04SR_2247,Fish Bone with traces of carving,natural artifact
sfi_cd,CH04SR_2213,fragment with incised decoration,worked bone
sfi_cd,CH05SR_3191,Object (carved bone),worked bone
sfi_cd,CH01PA_109,Oggetto,worked bone
sfi_cd,CH01PA_126,Osso Lavorato,worked bone
sfi_cd,CH06SR_3682,Panel/Plaque,inlay
sfi_cd,CH04SR_3977,Part of a worked bone object,worked bone
sfi_cd,CH04SR_2386,plaque,worked bone
sfi_cd,CH06SR_3957,Plaque/ panel,inlay
sfi_cd,CH04SR_2317,Polished/worked animal horn,worked bone
sfi_cd,CH04SR_2165,worked bone,worked bone
sfi_cd,CH06SR_3564,Worked bone (?),worked bone
sfi_cd,CH05SR_2781,Worked bone (found near wall 49),worked bone
sfi_cd,CH04SR_2569,Worked horn,worked bone
sfi_cd,CH04SR_2336,3x frags engraved stone,worked stone
sfi_cd,CH01PA_408,Abbeveratoio,worked stone
sfi_cd,CH05SR_2877,Decorated geometrically rectangular pumice,worked stone
sfi_cd,CH05SR_3337,flint (from sieve),worked stone
sfi_cd,CH05SR_3339,flint core,worked stone
sfi_cd,CH06SR_3836,Flint flake,worked stone
sfi_cd,CH05SR_3161,Flint tool,worked stone
sfi_cd,CH05SR_2822,Fragment of decorated object,worked stone
sfi_cd,CH06SR_3612,fragment/whetstone,worked stone
sfi_cd,CH06SR_3552,Grinding Stone (for cosmetics),worked stone
sfi_cd,CH05SR_3022,Knapped flint,worked stone
sfi_cd,CH01PA_176,Lastrina Lavorata,worked stone
sfi_cd,CH06SR_3644,Lithic,worked stone
sfi_cd,CH01PA_116,Nucleo,worked stone
sfi_cd,CH05SR_2871,Nucleus (1.70m from 17.2385),worked stone
sfi_cd,CH06SR_3905,Object/Tool,worked stone
sfi_cd,CH01PA_414,Oggetto Lavorato,worked stone
sfi_cd,CH01PA_147,Palla,worked stone
sfi_cd,CH06SR_3437,Piece of flint,worked stone
sfi_cd,CH06SR_3701,Piece of flint/flake,worked stone
sfi_cd,CH01PA_175,Pietra Lavorata,worked stone
sfi_cd,CH04SR_2517,Round engraved object,worked stone
sfi_cd,CH01PA_120,Scheggia,worked stone
sfi_cd,CH05SR_2946,Slab (cleaning profiles of pit in rm 37),worked stone
sfi_cd,CH04SR_2355,stone object - thymaterion or kernos,worked stone
sfi_cd,CH04SR_2635,"Stone object, 2 frags",worked stone
sfi_cd,CH06SR_3790,Stopper,worked stone
sfi_cd,CH05SR_3317,worked flint,worked stone
sfi_cd,CH04SR_2334,worked stone frag,worked stone
sfi_cd,CH04SR_2151,Iron/Clay Concentration of iron object on clay roofing material,tool
sfi_cd,CH01PA_905,nc,
sfi_cd,CH06SR_3565,Number not used,
sfi_cd,CH06SR_3972,Object/ plate (from sample 731),
sfi_cd,CH01PA_825,orlo,
sfi_cd,CH01PA_55,Ossa Umane,
