http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/22,https://ica.tacc.utexas.edu/chersonesos/ark/concept/attributetype/period,byzantine (general),http://n2t.net/ark:/99152/p0b6j5mmfbc,-
http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/122,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attributetype/findtype,rubble stone,-,-
http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/327,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attributetype/mint,"constantinople (hahn 1978, grierson-mays 1992, ric x) or cherson (anokhin 1980, sokolova 1983]",-,-
http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/998,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attributetype/ceramic_type,"lrc, form 10",-,-
http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/846,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attributetype/ceramic_type,class 12 (lrc 1-riley),-,-
http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/173,https://ica.tacc.utexas.edu/chersonesos/ark/concept/attributetype/botanytype,secale cereale,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4550,-
http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/280,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attributetype/face,southwest,-,-
http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1115,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attributetype/ceramic_date,second half of 6th-first half of 7th c. ad,-,-
http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/860,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attributetype/ceramic_type,brown gloss,-,-
http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/324,https://ica.tacc.utexas.edu/chersonesos/ark/concept/attributetype/mint,cherson,http://nomisma.org/id/cherronesus,https://pleiades.stoa.org/places/226564
http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/134,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attributetype/sampletype,carbonised wood,-,https://www.britishmuseum.org/collection/term/x8877
